date,open,high,low,close,volume,label
2012.01.25,77.68,78.275,77.55,77.76,7945,77.8
2012.01.26,77.77,77.8,77.28,77.45,6842,77.445
2012.01.27,77.44,77.445,76.64,76.67,6870,76.755
2012.01.29,76.75,76.755,76.7,76.73,214,76.785
2012.01.30,76.72,76.785,76.2,76.36,6638,76.415
2012.01.31,76.37,76.415,76.14,76.26,7586,76.34
2012.02.01,76.25,76.34,76.01,76.18,6796,76.23
2012.02.02,76.195,76.23,75.93,76.17,4605,76.725
2012.02.03,76.195,76.725,76.125,76.54,6229,76.565
2012.02.05,76.53,76.565,76.52,76.55,249,76.795
2012.02.06,76.54,76.795,76.48,76.55,6392,76.95
2012.02.07,76.56,76.95,76.5,76.76,7121,77.17
2012.02.08,76.765,77.17,76.7,77.06,7067,77.715
2012.02.09,77.05,77.715,77.03,77.64,6781,77.8
2012.02.10,77.65,77.8,77.51,77.61,6316,77.715
2012.02.12,77.65,77.715,77.59,77.7,273,77.77
2012.02.13,77.69,77.77,77.35,77.5,6560,78.53
2012.02.14,77.505,78.53,77.5,78.39,7499,78.65
2012.02.15,78.4,78.65,78.17,78.48,7467,78.955
2012.02.16,78.485,78.955,78.35,78.82,7130,79.5
2012.02.17,78.81,79.5,78.81,79.48,6577,79.885
2012.02.19,79.73,79.885,79.72,79.77,393,79.775
2012.02.20,79.775,79.775,79.35,79.605,5866,79.85
2012.02.21,79.6,79.85,79.535,79.84,7796,80.39
2012.02.22,79.83,80.39,79.76,80.26,7439,80.33
2012.02.23,80.25,80.33,79.84,79.93,7048,81
2012.02.24,79.935,81,79.91,80.99,6855,81.6
2012.02.26,81.6,81.6,81.4,81.47,386,81.47
2012.02.27,81.46,81.47,80.12,80.45,8155,80.77
2012.02.28,80.46,80.77,80,80.46,7989,81.38
2012.02.29,80.47,81.38,80.24,81.27,9026,81.31
2012.03.01,81.275,81.31,80.82,81.08,8254,81.86
2012.03.02,81.09,81.86,81.08,81.79,6966,81.84
2012.03.04,81.84,81.84,81.54,81.61,274,81.77
2012.03.05,81.6,81.77,81.14,81.52,4914,81.56
2012.03.06,81.53,81.56,80.57,80.62,5797,81.35
2012.03.07,80.63,81.35,80.57,81.34,5228,81.72
2012.03.08,81.33,81.72,81.17,81.58,5583,82.63
2012.03.09,81.57,82.63,81.46,82.4,7786,82.5
2012.03.11,82.41,82.5,82.34,82.34,291,82.42
2012.03.12,82.35,82.42,82.08,82.36,7390,83.07
2012.03.13,82.35,83.07,81.95,82.95,9164,83.89
2012.03.14,82.94,83.89,82.94,83.82,5361,84.16
2012.03.15,83.81,84.16,83.18,83.49,7124,83.93
2012.03.16,83.48,83.93,83.17,83.37,7499,83.55
2012.03.18,83.38,83.55,83.37,83.45,643,83.55
2012.03.19,83.44,83.55,83.01,83.36,7639,83.82
2012.03.20,83.37,83.82,83.31,83.66,7104,84.08
2012.03.21,83.65,84.08,83.12,83.19,7754,83.45
2012.03.22,83.18,83.45,82.3,82.51,10094,82.94
2012.03.23,82.5,82.94,81.96,82.4,8206,82.62
2012.03.25,82.43,82.62,82.42,82.59,651,83.02
2012.03.26,82.58,83.02,82.55,83,8761,83.37
